artist_id,artist_latitude,artist_location,artist_longitude,artist_name,duration,num_songs,song_id,title,year
AR9AWNF1187B9AB0B4,,"Seattle, Washington USA",,Kenny G featuring Daryl Hall,236.93016,1,SOZHPGD12A8C1394FE,Baby Come To Me,0
ARMBR4Y1187B9990EB,37.77916,California - SF,-122.42005,David Martin,241.47546,1,SOTTDKS12AB018D69B,It Wont Be Christmas,0
AR47JEX1187B995D81,37.83721,"Nevada, MO",-94.35868,SUE THOMPSON,124.86485,1,SOBLGCN12AB0183212,James (Hold The Ladder Steady),1985
ARDNS031187B9924F0,32.67828,Georgia,-83.22295,Tim Wilson,186.48771,1,SONYPOM12A8C13B2D7,I Think My Wife Is Running Around On Me (Taco Hell),2005
AREBBGV1187FB523D2,,"Houston, TX",,Mike Jones (Featuring CJ_ Mello & Lil' Bran),173.66159,1,SOOLYAZ12A6701F4A6,Laws Patrolling (Album Version),0
ARGIWFO1187B9B55B7,,,,Five Bolt Main,225.09669,1,SOPSWQW12A6D4F8781,Made Like This (Live),0
ARAJPHH1187FB5566A,40.7038,"Queens, NY",-73.83168,The Shangri-Las,164.80608,1,SOYTPEP12AB0180E7B,Twist and Shout,1964
AR0RCMP1187FB3F427,30.08615,"Beaumont, TX",-94.10158,Billie Jo Spears,133.32853,1,SOGXHEG12AB018653E,It Makes No Difference Now,1992
ARH4Z031187B9A71F2,40.73197,"Newark, NJ",-74.17418,Faye Adams,156.39465,1,SOVYKGO12AB0187199,Crazy Mixed Up World,1961
ARB29H41187B98F0EF,41.88415,Chicago,-87.63241,Terry Callier,342.56934,1,SOGNCJP12A58A80271,Do You Finally Need A Friend,1972
ARGUVEV1187B98BA17,,,,Sierra Maestra,313.12934,1,SOGOSOV12AF72A285E,¿Dónde va Chichi?,1997
AR1Y2PT1187FB5B9CE,27.94017,Brandon,-82.32547,John Wesley,484.62322,1,SOLLHMX12AB01846DC,The Emperor Falls,0
AROUOZZ1187B9ABE51,40.79195,"New York, NY [Spanish Harlem]",-73.94512,Willie Bobo,168.25424,1,SOBZBAZ12A6D4F8742,Spanish Grease,1997
ARNTLGG11E2835DDB9,,,,Clp,338.31138,1,SOZQDIU12A58A7BCF6,Superconfidential,0
AR5KOSW1187FB35FF4,49.80388,Dubai UAE,15.47491,Elena,269.58322,1,SOZCTXZ12AB0182364,Setanta matins,0
ARMAC4T1187FB3FA4C,40.82624,"Morris Plains, NJ",-74.47995,The Dillinger Escape Plan,207.77751,1,SOBBUGU12A8C13E95D,Setting Fire to Sleeping Giants,2004
ARIG6O41187B988BDD,37.16793,United States,-95.84502,Richard Souther,228.5971,1,SOUQQEA12A8C134B1B,High Tide,0
ARIK43K1187B9AE54C,,"Beverly Hills, CA",,Lionel Richie,307.3824,1,SOBONFF12A6D4F84D8,Tonight Will Be Alright,1986
ARYKCQI1187FB3B18F,,,,Tesla,290.29832,1,SOXLBJT12A8C140925,Caught In A Dream,2004
ARD842G1187B997376,43.64856,"Toronto, Ontario, Canada",-79.38533,Blue Rodeo,491.12771,1,SOHUOAP12A8AE488E9,Floating,1987
ARC43071187B990240,,"Wisner, LA",,Wayne Watson,245.21098,1,SOKEJEJ12A8C13E0D0,The Urgency (LP Version),0
ARL7K851187B99ACD2,,,,Andy Andy,226.35057,1,SOMUYGI12AB0188633,La Culpa,0
ARNPAGP1241B9C7FD4,,,,lextrical,165.69424,1,SOZVMJI12AB01808AF,Synthetic Dream,0
ARQGYP71187FB44566,34.31109,"Mineola, AR",-94.02978,Jimmy Wakely,151.84934,1,SOWTBJW12AC468AC6E,Broken-Down Merry-Go-Round,0
AR1ZHYZ1187FB3C717,,,,Faiz Ali Faiz,599.24853,1,SOILPQQ12AB017E82A,Sohna Nee Sohna Data,0
ARHHO3O1187B989413,,,,Bob Azzam,191.84281,1,SORAMLE12AB017C8B0,Auguri Cha Cha,0
ARI3BMM1187FB4255E,38.8991,Washington,-77.029,Alice Stuart,220.78649,1,SOBEBDG12A58A76D60,Kassie Jones,0
ARL7K851187B99ACD2,,,,Andy Andy,226.35057,1,SOMUYGI12AB0188633,La Culpa,0
ARD842G1187B997376,43.64856,"Toronto, Ontario, Canada",-79.38533,Blue Rodeo,491.12771,1,SOHUOAP12A8AE488E9,Floating,1987
ARIK43K1187B9AE54C,,"Beverly Hills, CA",,Lionel Richie,307.3824,1,SOBONFF12A6D4F84D8,Tonight Will Be Alright,1986
ARHHO3O1187B989413,,,,Bob Azzam,191.84281,1,SORAMLE12AB017C8B0,Auguri Cha Cha,0
ARKRRTF1187B9984DA,,,,Sonora Santanera,177.47546,1,SOXVLOJ12AB0189215,Amor De Cabaret,0
AR8ZCNI1187B9A069B,,,,Planet P Project,269.81832,1,SOIAZJW12AB01853F1,Pink World,1984
AR10USD1187B99F3F1,,"Burlington, Ontario, Canada",,Tweeterfriendly Music,189.57016,1,SOHKNRJ12A6701D1F8,Drop of Rain,0
ARNTLGG11E2835DDB9,,,,Clp,266.39628,1,SOUDSGM12AC9618304,Insatiable (Instrumental Version),0
ARXR32B1187FB57099,,,,Gob,209.60608,1,SOFSOCN12A8C143F5D,Face the Ashes,2007
ARGSJW91187B9B1D6B,35.21962,North Carolina,-80.01955,JennyAnyKind,218.77506,1,SOQHXMF12AB0182363,Young Boy Blues,0
ARD7TVE1187B99BFB1,,California - LA,,Casual,218.93179,1,SOMZWCG12A8C13C480,I Didn't Mean To,0
AR7G5I41187FB4CE6C,,"London, England",,Adam Ant,233.40363,1,SONHOTT12A8C13493C,Something Girls,1982
ARD0S291187B9B7BF5,,Ohio,,Rated R,114.78159,1,SOMJBYD12A6D4F8557,Keepin It Real (Skit),0
ARKFYS91187B98E58F,,,,Jeff And Sheri Easter,267.7024,1,SOYMRWW12A6D4FAB14,The Moon And I (Ordinary Day Album Version),0
ARMJAGH1187FB546F3,35.14968,"Memphis, TN",-90.04892,The Box Tops,148.03546,1,SOCIWDW12A8C13D406,Soul Deep,1969
ARD7TVE1187B99BFB1,,California - LA,,Casual,218.93179,1,SOMZWCG12A8C13C480,I Didn't Mean To,0
ARMJAGH1187FB546F3,35.14968,"Memphis, TN",-90.04892,The Box Tops,148.03546,1,SOCIWDW12A8C13D406,Soul Deep,1969
